NAME,TOKEN_ADDRESS,SNAPSHOT_TIME,TRANSFER_COUNT,TRANSFER_AMOUNT,BUY_COUNT,BUY_AMOUNT,SELL_COUNT,SELL_AMOUNT,MINT_COUNT,MINT_AMOUNT,BURN_COUNT,BURN_AMOUNT,TOTAL_SUPPLY,HOLDER_COUNT,USD_PRICE,TVL
Aurra,0xdcaa5e062b2be18e52ea6ed7ba232538621ddc10,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,598,,
CV3,0x7f2c169e3243da4e03acd95a45fbaa96aaeb2803,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,1269,,
Nibibara,0x7c95c5ad385ffe4de45bc6b104ce23f550e12ed3,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,992808677.724547,843,,
AI Lora Phile,0x55b332574353530b1940fab1700f3d25b9fffaab,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,160,,
Javier Ramirez,0xd9349d0420f3bdacf2b8c093041599f0876f4f53,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,458,,
NA by virtuals,0xa2935744de0056231e52ca37a8744c2fb532ed5e,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,991697038.495823,236,,
Mr. Data,0x223b9ca6269d24fbe5205692525dc706366005f5,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,991134596.800183,98,,
NODERZZ,0x2acd6a246157bf51636d06a83200f8923e7eb864,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,29492,,
ELIZA,0x63c1352e1ba827ad57e85af8fb84d5f309311d7b,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,983730583.49676,280,,
Vinny,0xbc5f413a3f0a11090ae1082e28613da36ae24aa6,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,34,,
John Wick,0x500de11927e0aeb3817288105241c1b3ac568242,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,977142390.126011,130,,
Ruby X,0xc58d1c74d38b9bfdefcba851b225894d7afce556,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,996528150.123354,4583,,
jim,0xf66bb91d8b8e359333687ce415e6655e3f63f4df,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,991450269.052136,166,,
Azara,0x3e1f498f9ad7c505e33bf9080cc93dcaf057d29f,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,30,,
